IP,Categories,References,ReportDate,Comment
116.193.190.201,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:47:37.357939+00:00,"Related with IP detected by heuristics (Discovered IP: 116.193.190.201, Discovered URL: http://116.193.190.201, Verdict: Spam, HTTP Status: 404), Zeroday: No"
116.202.180.78,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:43:19.972981+00:00,"Related with IP detected by heuristics (Discovered IP: 116.202.180.78, Discovered URL: http://116.202.180.78, Verdict: Malware, HTTP Status: 404), Zeroday: No"
116.203.1.0,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:38:05.485497+00:00,"Related with IP detected by heuristics (Discovered IP: 116.203.1.0, Discovered URL: http://116.203.1.0, Verdict: Malware, HTTP Status: 500), Zeroday: No"
117.247.99.4,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:36:57.080124+00:00,"Related with IP detected by heuristics (Discovered IP: 117.247.99.4, Discovered URL: http://117.247.99.4, Verdict: Malware, HTTP Status: 404), Zeroday: No"
117.4.252.46,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:23:19.721438+00:00,"Related with IP detected by heuristics (Discovered IP: 117.4.252.46, Discovered URL: http://117.4.252.46, Verdict: Malware, HTTP Status: 404), Zeroday: No"
117.71.59.84,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:41:30.107727+00:00,"Related with IP detected by heuristics (Discovered IP: 117.71.59.84, Discovered URL: http://117.71.59.84, Verdict: Malware, HTTP Status: 404), Zeroday: No"
117.72.39.83,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-09-20T19:41:11.003758+00:00,"Related with IP detected by heuristics (Discovered IP: 117.72.39.83, Discovered URL: http://117.72.39.83, Verdict: Malware, HTTP Status: 404), Zeroday: No"
117.95.90.172,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:34:27.243231+00:00,"Related with IP detected by heuristics (Discovered IP: 117.95.90.172, Discovered URL: http://117.95.90.172, Verdict: Malware, HTTP Status: 404), Zeroday: No"
118.193.39.158,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:32:53.893040+00:00,"Related with IP detected by heuristics (Discovered IP: 118.193.39.158, Discovered URL: http://118.193.39.158, Verdict: Malware, HTTP Status: 404), Zeroday: No"
118.25.187.5,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:29:17.160692+00:00,"Related with IP detected by heuristics (Discovered IP: 118.25.187.5, Discovered URL: http://118.25.187.5, Verdict: Malware, HTTP Status: 404), Zeroday: No"
119.23.143.198,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:50:57.203725+00:00,"Related with IP detected by heuristics (Discovered IP: 119.23.143.198, Discovered URL: http://119.23.143.198, Verdict: Malware, HTTP Status: 400), Zeroday: No"
119.252.154.35,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:11:05.779846+00:00,"Related with IP detected by heuristics (Discovered IP: 119.252.154.35, Discovered URL: http://119.252.154.35, Verdict: Malware, HTTP Status: 400), Zeroday: No"
119.28.234.30,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:42:15.669094+00:00,"Related with IP detected by heuristics (Discovered IP: 119.28.234.30, Discovered URL: http://119.28.234.30, Verdict: Malware, HTTP Status: 500), Zeroday: No"
