IP,Categories,References,ReportDate,Comment
12.139.170.104,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:36:19.374932+00:00,"Related with IP detected by heuristics (Discovered IP: 12.139.170.104, Discovered URL: http://12.139.170.104, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
12.207.11.217,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:47:46.835555+00:00,"Related with IP detected by heuristics (Discovered IP: 12.207.11.217, Discovered URL: http://12.207.11.217, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
12.215.221.197,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:06:49.681860+00:00,"Related with IP detected by heuristics (Discovered IP: 12.215.221.197, Discovered URL: http://12.215.221.197, Verdict: Whitelist, HTTP Status: Error: ConnectionError), Zeroday: No"
12.247.28.22,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:55:06.550287+00:00,"Related with IP detected by heuristics (Discovered IP: 12.247.28.22, Discovered URL: http://12.247.28.22, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
120.142.33.154,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:33:24.291981+00:00,"Related with IP detected by heuristics (Discovered IP: 120.142.33.154, Discovered URL: http://120.142.33.154, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
121.58.194.179,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:19:33.688282+00:00,"Related with IP detected by heuristics (Discovered IP: 121.58.194.179, Discovered URL: http://121.58.194.179, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
121.88.231.205,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:31:24.675707+00:00,"Related with IP detected by heuristics (Discovered IP: 121.88.231.205, Discovered URL: http://121.88.231.205, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
121.90.197.226,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:50:30.561585+00:00,"Related with IP detected by heuristics (Discovered IP: 121.90.197.226, Discovered URL: http://121.90.197.226, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
122.169.54.24,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:01:14.515488+00:00,"Related with IP detected by heuristics (Discovered IP: 122.169.54.24, Discovered URL: http://122.169.54.24, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
123.20.216.117,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:35:24.232329+00:00,"Related with IP detected by heuristics (Discovered IP: 123.20.216.117, Discovered URL: http://123.20.216.117, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
